2023-12-02 12:48:15.970931 | INFO | Connect tm_analysis database success | INFO
2024-01-10 01:03:53.318060 | WARNING | Cannot update amount of anomaly points for letest date (There is not new anomaly date) becouse of latest date is no match for anomaly_theos_tth19a_1h_auto_m1 in count anomaly daily process
2024-01-10 01:03:53.734539 | WARNING | Cannot update amount of anomaly points for letest date (There is not new anomaly date) becouse of latest date is no match for anomaly_theos_tmontcl20_1h_auto_m1 in count anomaly daily process
2024-01-10 01:03:53.946824 | WARNING | Cannot update amount of anomaly points for letest date (There is not new anomaly date) becouse of latest date is no match for anomaly_theos_tth17a_1h_auto_m1 in count anomaly daily process
2024-01-10 01:03:54.441059 | INFO | Close connection tm_analysis database success | INFO
2024-01-10 01:03:54.441359 | INFO | Close connection tm_record database success | INFO
2024-01-10 01:03:54.441504 | INFO | Close connection mixer_dw_2021 database success | INFO
2024-01-12 04:59:55.502885 | INFO | Connect tm_analysis database success | INFO
2024-01-12 04:59:55.516286 | INFO | Connect tm_record database success | INFO
2024-01-12 04:59:55.527472 | INFO | Connect mixer_dw_2021 database success | INFO
2024-01-12 04:59:56.331208 | WARNING | The data of TSAPANEL2 was not updated in MIXER-II | Not found undated data
2024-01-12 04:59:56.538241 | WARNING | The data of V6TXA was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:00.816504 | WARNING | The data of TMONTCL23 was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:10.464072 | WARNING | The data of VSTRM5VA was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:10.977020 | WARNING | The data of RSTRT1QXYA was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:13.526121 | WARNING | The data of IHTGR2A was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:13.740065 | WARNING | The data of ICSSYNA was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:14.805872 | WARNING | The data of VIPUREF2A was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:20.453092 | WARNING | The data of TIPUM1TS2A was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:21.779003 | WARNING | The data of TTH16A was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:23.376554 | WARNING | The data of ISGA was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:25.121562 | WARNING | The data of TIPUMEBPCA was not updated in MIXER-II | Not found undated data
2024-01-12 05:00:29.354511 | WARNING | The updated data of TIOCB which was updated in MIXER-II is NaN value | The data is Nan
2024-01-12 05:00:32.148323 | WARNING | Feature calculation of TMONTCL17 with 1H is error in create feature process | Error: x and y arrays must have at least 2 entries
2024-01-12 05:00:33.723312 | WARNING | Feature calculation of ANGULAR_MOMENTUM_RW1 with 1H is error in create feature process | Error: x and y arrays must have at least 2 entries
2024-01-12 05:00:34.487821 | WARNING | Feature calculation of TMONTCL10 with 1H is error in create feature process | Error: x and y arrays must have at least 2 entries
2024-01-12 05:00:35.548405 | WARNING | Feature calculation of TMONTCL22 with 1H is error in create feature process | Error: x and y arrays must have at least 2 entries
2024-01-12 05:00:36.755983 | WARNING | Feature calculation of TIPUM1BA1A with 1H is error in create feature process | Error: x and y arrays must have at least 2 entries
2024-01-12 05:00:38.574707 | WARNING | Feature calculation of TIPUM1TS1A with 1H is error in create feature process | Error: x and y arrays must have at least 2 entries
2024-01-12 05:00:39.740246 | WARNING | Feature calculation of TTH6A with 30MIN is error in create feature process | Error: x and y arrays must have at least 2 entries
2024-01-12 05:00:41.619640 | WARNING | Feature calculation of TIPUMAIP2A with 1H is error in create feature process | Error: x and y arrays must have at least 2 entries
2024-01-12 05:00:42.432621 | WARNING | Cannot update amount of anomaly points for letest date (There is not new anomaly date) becouse of latest date is no match for anomaly_theos_tth15a_1h_auto_m1 in count anomaly daily process
2024-01-12 05:00:42.473288 | WARNING | Cannot update amount of anomaly points for letest date (There is not new anomaly date) becouse of latest date is no match for anomaly_theos_tmontcl19_1h_auto_m1 in count anomaly daily process
2024-01-12 05:00:42.547359 | INFO | Close connection tm_analysis database success | INFO
2024-01-12 05:00:42.547629 | INFO | Close connection tm_record database success | INFO
2024-01-12 05:00:42.547786 | INFO | Close connection mixer_dw_2021 database success | INFO
